1 1
2 1
3 1
4 5
5 12
6 18
7 40
8 74
9 126
10 218
11 397
12 678
13 1181
14 2072
15 3625
16 6358
17 11064
18 19051
19 32174
20 53134
21 83712
22 123587
23 168510
24 209656
25 241428
26 261965
27 274095
28 280829
29 284786
30 286847
31 287766
32 288752
33 289389
34 289865
35 289763
36 289706
37 289776
38 289978
39 290008
40 289895
41 290184
42 290022
43 290046
44 290002
45 289960
46 290046
47 289879
48 289963
49 289975
50 290186
51 290240
52 290039
53 290198
54 289958
55 290090
56 290096
57 289989
58 290317
59 290234
60 290274
61 290076
62 290050
63 290190
64 290221
65 290389
66 290040
67 290104
68 290200
69 289957
70 289712
71 289771
72 289796
73 289953
74 290190
75 290163
76 290094
77 290044
78 290117
79 289959
80 289816
81 289950
82 290075
83 290125
84 290356
85 290200
