1 1
2 2
3 2
4 2
5 4
6 8
7 13
8 22
9 29
10 36
11 59
12 82
13 125
14 185
15 292
16 462
17 830
18 1570
19 3016
20 5751
21 9870
22 15324
23 21814
24 28716
25 35307
26 41610
27 47171
28 52319
29 56735
30 60609
31 63931
32 66944
33 69540
34 71807
35 73610
36 75075
37 76632
38 77835
39 79116
40 80056
41 80798
42 81452
43 82072
44 82616
45 83126
46 83689
47 83934
48 84179
49 84505
50 84794
51 85028
52 85123
53 85448
54 85610
55 85765
56 85982
57 86246
58 86415
59 86383
60 86343
61 86295
62 86410
63 86657
64 86738
65 86463
66 86522
67 86679
68 86678
69 86813
70 86989
71 86896
72 87017
73 86922
74 87035
75 87198
76 87142
77 87018
78 87070
79 87066
80 86979
81 87179
82 87135
83 87095
84 87018
85 87118
