1 1
2 2
3 2
4 2
5 3
6 9
7 20
8 37
9 75
10 171
11 432
12 1054
13 2513
14 5366
15 10525
16 18175
17 28369
18 39979
19 51846
20 63051
21 72837
22 80921
23 87583
24 92894
25 97048
26 100343
27 102999
28 105030
29 106573
30 107830
31 108947
32 109594
33 110186
34 110739
35 111023
36 111581
37 111676
38 112084
39 112283
40 112213
41 112267
42 112343
43 112641
44 112698
45 112751
46 112790
47 112858
48 112923
49 112869
50 113056
51 112988
52 113097
53 113246
54 113052
55 113215
56 113369
57 113448
58 113312
59 113303
60 113498
61 113388
62 113458
63 113547
64 113418
65 113379
66 113443
67 113517
68 113321
69 113403
70 113404
71 113385
72 113403
73 113429
74 113315
75 113496
76 113440
77 113457
78 113446
79 113554
80 113316
81 113423
82 113341
83 113312
84 113272
85 113255
