1 1
2 1
3 1
4 1
5 1
6 2
7 2
8 2
9 2
10 1
11 1
12 1
13 2
14 3
15 4
16 5
17 8
18 9
19 10
20 11
21 12
22 15
23 14
24 15
25 19
26 24
27 28
28 31
29 41
30 52
31 58
32 75
33 98
34 105
35 120
36 146
37 175
38 214
39 252
40 278
41 310
42 367
43 433
44 503
45 604
46 705
47 834
48 963
49 1123
50 1305
51 1526
52 1758
53 2008
54 2316
55 2678
56 3063
57 3557
58 4050
59 4555
60 5099
61 5704
62 6295
63 6899
64 7556
65 8312
66 9097
67 9862
68 10654
69 11431
70 12265
71 13147
72 14037
73 14888
74 15663
75 16483
76 17378
77 18226
78 18940
79 19742
80 20415
81 21149
82 21777
83 22445
84 23022
85 23678
